news_headline,news_article,news_category,full_text,clean_text
Greedy traders actual virus: B'desh bowler Rubel Hossain on COVID-19,"Bangladesh pacer Rubel Hossain has criticised the ""greedy traders"" for the hike in the prices of masks and sanitisers in the country. ""China went through the crisis but the manufactures there reduced the prices of masks because they are human,"" he claimed. ""Whereas with us the mask worth Taka 5 is now being sold for Taka 50,"" he said.",sports,"Greedy traders actual virus: B'desh bowler Rubel Hossain on COVID-19. Bangladesh pacer Rubel Hossain has criticised the ""greedy traders"" for the hike in the prices of masks and sanitisers in the country. ""China went through the crisis but the manufactures there reduced the prices of masks because they are human,"" he claimed. ""Whereas with us the mask worth Taka 5 is now being sold for Taka 50,"" he said.",greedy trader actual virus bdesh bowler rubel hossain covid bangladesh pacer rubel hossain criticise greedy trader hike price mask sanitiser country china go crisis manufacture reduce price mask human claim whereas us mask worth taka sell taka say
"Girl present at tournament in which Sindhu, Saina participated tests +ve","A Taiwanese media report has claimed that a 10-year-old Taiwanese sports student who was present at the All England Open badminton tournament has tested positive for coronavirus. Notably, several Indian shuttlers including PV Sindhu and Saina Nehwal participated in the tournament. Nehwal took to Twitter over the report and said, ""No way...really really shocked.""",sports,"Girl present at tournament in which Sindhu, Saina participated tests +ve. A Taiwanese media report has claimed that a 10-year-old Taiwanese sports student who was present at the All England Open badminton tournament has tested positive for coronavirus. Notably, several Indian shuttlers including PV Sindhu and Saina Nehwal participated in the tournament. Nehwal took to Twitter over the report and said, ""No way...really really shocked.""",girl present tournament sindhu saina participate test taiwanese medium report claim year old taiwanese sport student present england open badminton tournament test positive coronavirus notably several indian shuttler include pv sindhu saina nehwal participate tournament nehwal take twitter report say no way really really shocked
David Warner pulls out of ECB's 100-ball tournament The Hundred,"Australia opener David Warner has pulled out of the England and Wales Cricket Board's (ECB) inaugural edition of The Hundred competition. Warner, who was signed for £125,000 by the Southampton-based Southern Brave, withdrew from the tournament reportedly to take part in Australia's ODI series against Zimbabwe in August. As for the IPL, Warner's manager has confirmed his participation.",sports,"David Warner pulls out of ECB's 100-ball tournament The Hundred. Australia opener David Warner has pulled out of the England and Wales Cricket Board's (ECB) inaugural edition of The Hundred competition. Warner, who was signed for £125,000 by the Southampton-based Southern Brave, withdrew from the tournament reportedly to take part in Australia's ODI series against Zimbabwe in August. As for the IPL, Warner's manager has confirmed his participation.",david warner pull ecb ball tournament hundred australia opener david warner pull england wales cricket board ecb inaugural edition hundred competition warner sign southampton base southern brave withdraw tournament reportedly take part australias odi series zimbabwe august ipl warner manager confirm participation
Have reduced dope tests by 75% due to COVID-19: NADA,"The National Anti-Doping Agency (NADA) Director General Navin Agarwal has said that the agency has reduced the collection of sample of athletes by 75% over the coronavirus pandemic. ""We are currently testing only those athletes who have a high risk (of doping) and those who have qualified for Olympics,"" he added. ""There is problem of transporting samples,"" he further said.",sports,"Have reduced dope tests by 75% due to COVID-19: NADA. The National Anti-Doping Agency (NADA) Director General Navin Agarwal has said that the agency has reduced the collection of sample of athletes by 75% over the coronavirus pandemic. ""We are currently testing only those athletes who have a high risk (of doping) and those who have qualified for Olympics,"" he added. ""There is problem of transporting samples,"" he further said.",reduce dope test due covid nada national anti doping agency nada director general navin agarwal say agency reduce collection sample athlete coronavirus pandemic currently test athlete high risk dope qualify olympic add problem transport sample say
Shreyas Iyer shows magic trick amid self-isolation,"The BCCI on Saturday tweeted a 91-second video in which Team India batsman Shreyas Iyer can be seen performing a card magic trick with his sister Natasha. ""Trust our in-house magician to keep us entertained when we are all indoors,"" said BCCI. Major sporting events have been postponed amid the coronavirus pandemic and people have been advised to stay indoors.",sports,"Shreyas Iyer shows magic trick amid self-isolation. The BCCI on Saturday tweeted a 91-second video in which Team India batsman Shreyas Iyer can be seen performing a card magic trick with his sister Natasha. ""Trust our in-house magician to keep us entertained when we are all indoors,"" said BCCI. Major sporting events have been postponed amid the coronavirus pandemic and people have been advised to stay indoors.",shreyas iyer show magic trick amid self isolation bcci saturday tweet second video team india batsman shreyas iyer see perform card magic trick sister natasha trust house magician keep us entertain indoor say bcci major sporting event postpone amid coronavirus pandemic people advise stay indoor
Right step: Tendulkar praises PM Modi's 'Janata Curfew' on Mar 22,"Praising Prime Minister Narendra Modi's appeal to observe 'Janata Curfew' on March 22 over coronavirus pandemic, Sachin Tendulkar termed the move ""right step"". ""All of us should...fight against COVID-19 seriously. Let's do our bit and stay at home to protect ourselves and others,"" he added. A total of 223 cases of coronavirus have been reported in India so far.",sports,"Right step: Tendulkar praises PM Modi's 'Janata Curfew' on Mar 22. Praising Prime Minister Narendra Modi's appeal to observe 'Janata Curfew' on March 22 over coronavirus pandemic, Sachin Tendulkar termed the move ""right step"". ""All of us should...fight against COVID-19 seriously. Let's do our bit and stay at home to protect ourselves and others,"" he added. A total of 223 cases of coronavirus have been reported in India so far.",right step tendulkar praises pm modis janata curfew mar praise prime minister narendra modis appeal observe janata curfew march coronavirus pandemic sachin tendulkar term move right step us fight covid seriously let us bit stay home protect add total case coronavirus report india far
Indian hockey teams continue practice for Olympics amid COVID-19 pandemic,"The Indian men's and women's hockey players are currently undergoing training at the Sports Authority of India centre in Bengaluru for the Olympics amid the coronavirus pandemic. ""We are continuously washing our hands and our temperatures are being checked regularly,"" said men's team captain Manpreet Singh. ""The COVID-19 outbreak has not affected our practice sessions,"" he further said.",sports,"Indian hockey teams continue practice for Olympics amid COVID-19 pandemic. The Indian men's and women's hockey players are currently undergoing training at the Sports Authority of India centre in Bengaluru for the Olympics amid the coronavirus pandemic. ""We are continuously washing our hands and our temperatures are being checked regularly,"" said men's team captain Manpreet Singh. ""The COVID-19 outbreak has not affected our practice sessions,"" he further said.",indian hockey team continue practice olympic amid covid pandemic indian mens womens hockey player currently undergo training sport authority india centre bengaluru olympics amid coronavirus pandemic continuously wash hand temperature check regularly say mens team captain manpreet singh covid outbreak not affect practice session say
"City, United donate 100,000 pounds to Manchester food banks","Premier League rivals Manchester City and Manchester United have come together to fight against the coronavirus pandemic. Both the clubs have donated a combined 100,000 pounds to help food banks in Greater Manchester to meet demand from vulnerable people. ""These groups collected supplies before home games but this has been interrupted by the suspension of football,"" United said.",sports,"City, United donate 100,000 pounds to Manchester food banks. Premier League rivals Manchester City and Manchester United have come together to fight against the coronavirus pandemic. Both the clubs have donated a combined 100,000 pounds to help food banks in Greater Manchester to meet demand from vulnerable people. ""These groups collected supplies before home games but this has been interrupted by the suspension of football,"" United said.",city united donate pound manchester food bank premier league rival manchester city manchester united come together fight coronavirus pandemic club donate combine pound help food bank great manchester meet demand vulnerable people group collect supply home game interrupt suspension football united say
UEFA apologies for tweeting name of postponed Euro event as 'Euro 2020',"UEFA has apologised for tweeting the name of the Euro event which has been postponed for a year due to the coronavirus pandemic as 'Euro 2020'. ""#EURO2020 will still be known as UEFA Euro 2020,"" UEFA had said. ""No decision has yet been made on the name of the rearranged Euro,"" it later clarified. ",sports,"UEFA apologies for tweeting name of postponed Euro event as 'Euro 2020'. UEFA has apologised for tweeting the name of the Euro event which has been postponed for a year due to the coronavirus pandemic as 'Euro 2020'. ""#EURO2020 will still be known as UEFA Euro 2020,"" UEFA had said. ""No decision has yet been made on the name of the rearranged Euro,"" it later clarified. ",uefa apology tweet name postpone euro event euro uefa apologise tweet name euro event postpone year due coronavirus pandemic euro euro still know uefa euro uefa say no decision yet make name rearrange euro later clarify
SL postpones all domestic tournaments after COVID-19 cases cross 80,"Sri Lanka cricket has postponed all domestic tournaments until further notice to prevent the spread of coronavirus after four new cases surfaced, taking the total number of cases to 81 in the country. Earlier, England had postponed their Test series against Sri Lanka due to the virus. At least 2,86,000 confirmed cases of coronavirus have been reported world over.",sports,"SL postpones all domestic tournaments after COVID-19 cases cross 80. Sri Lanka cricket has postponed all domestic tournaments until further notice to prevent the spread of coronavirus after four new cases surfaced, taking the total number of cases to 81 in the country. Earlier, England had postponed their Test series against Sri Lanka due to the virus. At least 2,86,000 confirmed cases of coronavirus have been reported world over.",sl postpone domestic tournament covid case cross sri lanka cricket postpone domestic tournament notice prevent spread coronavirus four new case surface take total number case country earlier england postpone test series sri lanka due virus least confirm case coronavirus report world
" Peshawar Zalmi ask fans to describe Shoaib Malik in 1 word, Sania responds","Pakistan Super League (PSL) side Peshawar Zalmi on Friday asked fans on Twitter to describe former Pakistan skipper and all-rounder Shoaib Malik in one word. Responding to it, Indian tennis player and Shoaib's wife Sania Mirza said, ""Handsome."" In the PSL, Zalmi won four of the ten matches they played and finished the group stage on the fourth spot.",sports," Peshawar Zalmi ask fans to describe Shoaib Malik in 1 word, Sania responds. Pakistan Super League (PSL) side Peshawar Zalmi on Friday asked fans on Twitter to describe former Pakistan skipper and all-rounder Shoaib Malik in one word. Responding to it, Indian tennis player and Shoaib's wife Sania Mirza said, ""Handsome."" In the PSL, Zalmi won four of the ten matches they played and finished the group stage on the fourth spot.",peshawar zalmi ask fan describe shoaib malik word sania respond pakistan super league psl side peshawar zalmi friday ask fan twitter describe former pakistan skipper rounder shoaib malik one word respond indian tennis player shoaibs wife sania mirza say handsome psl zalmi win four ten match play finish group stage fourth spot
"Chhetri reveals he'd like to play for RCB if given chance, RCB responds","Indian football team captain Sunil Chhetri on Friday revealed that he would like to play for the Royal Challengers Bangalore (RCB) in the IPL if given a chance. Responding to Chhetri, RCB today tweeted, ""We're ready when you are."" Chhetri plays for the Bengaluru FC in the Indian Super League (ISL) and is India's all-time highest scorer in football.",sports,"Chhetri reveals he'd like to play for RCB if given chance, RCB responds. Indian football team captain Sunil Chhetri on Friday revealed that he would like to play for the Royal Challengers Bangalore (RCB) in the IPL if given a chance. Responding to Chhetri, RCB today tweeted, ""We're ready when you are."" Chhetri plays for the Bengaluru FC in the Indian Super League (ISL) and is India's all-time highest scorer in football.",chhetri reveal would like play rcb give chance rcb respond indian football team captain sunil chhetri friday reveal would like play royal challenger bangalore rcb ipl give chance respond chhetri rcb today tweet ready chhetri play bengaluru fc indian super league isl indias time high scorer football
"Can beat Messi, Ronaldo in carrom: Sunil Chhetri","Indian football team captain Sunil Chhetri on Friday took to Twitter for a question and answer session and said that he could beat Barcelona forward Lionel Messi and Juventus striker Cristiano Ronaldo in carrom. On being asked which Indian Premier League team would he like to play for if given a chance, Chhetri answered, ""I'm a Bangalore boy.""",sports,"Can beat Messi, Ronaldo in carrom: Sunil Chhetri. Indian football team captain Sunil Chhetri on Friday took to Twitter for a question and answer session and said that he could beat Barcelona forward Lionel Messi and Juventus striker Cristiano Ronaldo in carrom. On being asked which Indian Premier League team would he like to play for if given a chance, Chhetri answered, ""I'm a Bangalore boy.""",beat messi ronaldo carrom sunil chhetri indian football team captain sunil chhetri friday take twitter question answer session say could beat barcelona forward lionel messi juventus striker cristiano ronaldo carrom ask indian premier league team would like play give chance chhetri answer bangalore boy
He should focus on his own game: PCB CEO on Hafeez's remarks over Sharjeel,"Pakistan Cricket Board (PCB) CEO Wasim Khan has criticised Pakistan all-rounder Mohammad Hafeez's remarks over the return of Sharjeel Khan, who was banned for spot-fixing. ""He [Hafeez] should focus on his own game…it's not his place to be doing it [questioning Sharjeel's return],"" Wasim said. ""He [Hafeez] should leave it [criticism] for the cricket board to answer,"" Wasim added.",sports,"He should focus on his own game: PCB CEO on Hafeez's remarks over Sharjeel. Pakistan Cricket Board (PCB) CEO Wasim Khan has criticised Pakistan all-rounder Mohammad Hafeez's remarks over the return of Sharjeel Khan, who was banned for spot-fixing. ""He [Hafeez] should focus on his own game…it's not his place to be doing it [questioning Sharjeel's return],"" Wasim said. ""He [Hafeez] should leave it [criticism] for the cricket board to answer,"" Wasim added.",focus game pcb ceo hafeezs remark sharjeel pakistan cricket board pcb ceo wasim khan criticise pakistan rounder mohammad hafeezs remark return sharjeel khan ban spot fixing [ hafeez ] focus game not place [ question sharjeel return ] wasim say [ hafeez ] leave [ criticism ] cricket board answer wasim add
"Kohli has class, feels so good to watch him bat: Javed Miandad","Former Pakistan cricket team captain Javed Miandad has revealed that Virat Kohli is his favourite Indian cricketer. ""I don't have to say much, his performance itself tells a lot,"" Miandad said on his Youtube channel. ""He is a clean hitter. Look at his shots, it feels so good to watch him bat. He has class,"" Miandad further said.",sports,"Kohli has class, feels so good to watch him bat: Javed Miandad. Former Pakistan cricket team captain Javed Miandad has revealed that Virat Kohli is his favourite Indian cricketer. ""I don't have to say much, his performance itself tells a lot,"" Miandad said on his Youtube channel. ""He is a clean hitter. Look at his shots, it feels so good to watch him bat. He has class,"" Miandad further said.",kohli class feel good watch bat javed miandad former pakistan cricket team captain javed miandad reveal virat kohli favourite indian cricketer not say much performance tell lot miandad say youtube channel clean hitter look shot feel good watch bat class miandad say
Not everyone is lucky to play in a World Cup: 16-yr-old Shafali,"Talking about her 2020 ICC Women's T20 World Cup experience, India Women opener Shafali Verma said that not everyone is ""lucky"" to play in a World Cup. ""I'll never forget the welcome that I received...There were dhols, music...I felt pretty special,"" she added. Shafali is the youngest cricketer (male or female) to play in an ICC World Cup final.",sports,"Not everyone is lucky to play in a World Cup: 16-yr-old Shafali. Talking about her 2020 ICC Women's T20 World Cup experience, India Women opener Shafali Verma said that not everyone is ""lucky"" to play in a World Cup. ""I'll never forget the welcome that I received...There were dhols, music...I felt pretty special,"" she added. Shafali is the youngest cricketer (male or female) to play in an ICC World Cup final.",not everyone lucky play world cup yr old shafali talk icc womens world cup experience india woman opener shafali verma say not everyone lucky play world cup never forget welcome receive dhol music feel pretty special add shafali young cricketer male female play icc world cup final
Will resign if I'm unable to deliver: Pak bowling coach Waqar Younis,"Former Pakistan captain and current bowling coach Waqar Younis has said that he would resign before the completion of his tenure if he's unable to deliver set targets. Waqar, who was appointed the bowling coach last year in September, said, ""If I feel I am not good enough...I will resign."" Waqar picked 373 wickets in 87 Test matches.",sports,"Will resign if I'm unable to deliver: Pak bowling coach Waqar Younis. Former Pakistan captain and current bowling coach Waqar Younis has said that he would resign before the completion of his tenure if he's unable to deliver set targets. Waqar, who was appointed the bowling coach last year in September, said, ""If I feel I am not good enough...I will resign."" Waqar picked 373 wickets in 87 Test matches.",resign unable deliver pak bowling coach waqar younis former pakistan captain current bowling coach waqar younis say would resign completion tenure unable deliver set target waqar appoint bowling coach last year september say feel not good enough resign waqar pick wicket test match
Shouldn't standards of dignity be higher than 'Extra Talent': Hafeez,"In an apparent reference to Pakistan batsman Sharjeel Khan's return to cricket, all-rounder Mohammad Hafeez tweeted, ""Shouldn't we set standards of dignity and pride higher than any other 'Extra Talent' to represent Pakistan."" Sharjeel was handed a five-year ban by the PCB over his involvement in the spot-fixing scandal in 2017. However, half of the ban was suspended later.",sports,"Shouldn't standards of dignity be higher than 'Extra Talent': Hafeez. In an apparent reference to Pakistan batsman Sharjeel Khan's return to cricket, all-rounder Mohammad Hafeez tweeted, ""Shouldn't we set standards of dignity and pride higher than any other 'Extra Talent' to represent Pakistan."" Sharjeel was handed a five-year ban by the PCB over his involvement in the spot-fixing scandal in 2017. However, half of the ban was suspended later.",not standard dignity high extra talent hafeez apparent reference pakistan batsman sharjeel khans return cricket round mohammad hafeez tweet not set standard dignity pride high extra talent represent pakistan sharjeel hand five year ban pcb involvement spot fix scandal however half ban suspend later
SC orders floor test to be held in MP Assembly on March 20 by 5 pm,The Supreme Court has ordered floor test to be held in Madhya Pradesh Assembly on March 20. It added that the floor test should be held by show of hands in accordance with the law and should be completed by 5 pm. The Madhya Pradesh government was asked to prove majority after its 22 MLAs resigned last week.,politics,SC orders floor test to be held in MP Assembly on March 20 by 5 pm. The Supreme Court has ordered floor test to be held in Madhya Pradesh Assembly on March 20. It added that the floor test should be held by show of hands in accordance with the law and should be completed by 5 pm. The Madhya Pradesh government was asked to prove majority after its 22 MLAs resigned last week.,sc order floor test hold mp assembly march pm supreme court order floor test hold madhya pradesh assembly march add floor test hold show hand accordance law complete pm madhya pradesh government ask prove majority mla resign last week
"22 rebel Congress MLAs, whose resignation led to fall of MP govt, join BJP","The 22 rebel Congress MLAs, whose resignation led to the fall of the Kamal Nath-led Congress government in Madhya Pradesh, joined the BJP on Saturday, BJP's Jyotiraditya Scindia said. According to reports, six former Cabinet ministers are among the 22 MLAs. This comes a day after Kamal Nath resigned as Madhya Pradesh's Chief Minister.",politics,"22 rebel Congress MLAs, whose resignation led to fall of MP govt, join BJP. The 22 rebel Congress MLAs, whose resignation led to the fall of the Kamal Nath-led Congress government in Madhya Pradesh, joined the BJP on Saturday, BJP's Jyotiraditya Scindia said. According to reports, six former Cabinet ministers are among the 22 MLAs. This comes a day after Kamal Nath resigned as Madhya Pradesh's Chief Minister.",rebel congress mlas whose resignation lead fall mp govt join bjp rebel congress mlas whose resignation lead fall kamal nath lead congress government madhya pradesh join bjp saturday bjps jyotiraditya scindia say accord report six former cabinet minister among mla come day kamal nath resign madhya pradeshs chief minister
Ex-CJI Ranjan Gogoi takes oath amid Cong MPs chanting 'shame' in Rajya Sabha,"Ex-CJI Ranjan Gogoi took oath as a member of Rajya Sabha on Thursday amid chants of ""shame"" by Congress MPs. Congress criticised the appointment by calling it an 'assault on the independence of the judiciary'. Justice Gogoi had defended taking up the role, saying it'll ""be an opportunity to project the views of the judiciary before the legislative and vice-versa"".",politics,"Ex-CJI Ranjan Gogoi takes oath amid Cong MPs chanting 'shame' in Rajya Sabha. Ex-CJI Ranjan Gogoi took oath as a member of Rajya Sabha on Thursday amid chants of ""shame"" by Congress MPs. Congress criticised the appointment by calling it an 'assault on the independence of the judiciary'. Justice Gogoi had defended taking up the role, saying it'll ""be an opportunity to project the views of the judiciary before the legislative and vice-versa"".",ex cji ranjan gogoi take oath amid cong mps chant shame rajya sabha ex cji ranjan gogoi take oath member rajya sabha thursday amid chant shame congress mps congress criticise appointment call assault independence judiciary justice gogoi defend take role say opportunity project view judiciary legislative vice versa
"Newspaper writes 'Kovind, not Covid, did it' as headline, gets PCI notice","Press Council of India sent English daily The Telegraph a notice over use of pun related to coronavirus on President Ram Nath Kovind. It had published an article on Ex-CJI Ranjan Gogoi's nomination to the Rajya Sabha with headline 'Kovind, not Covid, did it'. The notice called it ""satirical comments, ridiculing and denigrating the first citizen"" beyond ""fair journalistic comment"".",politics,"Newspaper writes 'Kovind, not Covid, did it' as headline, gets PCI notice. Press Council of India sent English daily The Telegraph a notice over use of pun related to coronavirus on President Ram Nath Kovind. It had published an article on Ex-CJI Ranjan Gogoi's nomination to the Rajya Sabha with headline 'Kovind, not Covid, did it'. The notice called it ""satirical comments, ridiculing and denigrating the first citizen"" beyond ""fair journalistic comment"".",newspaper write kovind not covid headline get pci notice press council india send english daily telegraph notice use pun relate coronavirus president ram nath kovind publish article ex cji ranjan gogois nomination rajya sabha headline kovind not covid notice call satirical comment ridicule denigrate first citizen beyond fair journalistic comment
Will be disappointed if PM didn't announce lockdown: Chidambaram,"Congress leader P Chidambaram on Thursday tweeted that he would be disappointed if Prime Minister Narendra Modi did not announce a total lockdown of at least all towns and cities for a period of two to four weeks at 8 pm tonight. Chidambaram added, ""Anything less will be letting down this country.""",politics,"Will be disappointed if PM didn't announce lockdown: Chidambaram. Congress leader P Chidambaram on Thursday tweeted that he would be disappointed if Prime Minister Narendra Modi did not announce a total lockdown of at least all towns and cities for a period of two to four weeks at 8 pm tonight. Chidambaram added, ""Anything less will be letting down this country.""",disappoint pm not announce lockdown chidambaram congress leader p chidambaram thursday tweet would disappoint prime minister narendra modi not announce total lockdown least town city period two four week pm tonight chidambaram add anything less let country
Budget Session will not be cut short over coronavirus: PM Modi tells MPs,"Prime Minister Narendra Modi on Tuesday made it clear that the ongoing Budget Session in the Parliament will not be curtailed due to spread of coronavirus. At BJP Parliamentary party meeting, PM asked lawmakers to spread awareness about coronavirus and steps taken by the government to halt its spread. Lawmakers had written to him suggesting early adjournment of Budget Session.",politics,"Budget Session will not be cut short over coronavirus: PM Modi tells MPs. Prime Minister Narendra Modi on Tuesday made it clear that the ongoing Budget Session in the Parliament will not be curtailed due to spread of coronavirus. At BJP Parliamentary party meeting, PM asked lawmakers to spread awareness about coronavirus and steps taken by the government to halt its spread. Lawmakers had written to him suggesting early adjournment of Budget Session.",budget session not cut short coronavirus pm modi tell mps prime minister narendra modi tuesday make clear ongoing budget session parliament not curtail due spread coronavirus bjp parliamentary party meeting pm ask lawmaker spread awareness coronavirus step take government halt spread lawmaker write suggest early adjournment budget session
BJP not to hold protest for 1 month amid coronavirus scare: JP Nadda,"BJP will not hold any protest or demonstration for a month amid coronavirus outbreak, party President JP Nadda said on Wednesday. He further said BJP won't be holding public gatherings, adding that if they have to convey anything, senior party leaders will do so through memorandums. ""All party units have been asked to spread awareness about coronavirus,"" Nadda said.",politics,"BJP not to hold protest for 1 month amid coronavirus scare: JP Nadda. BJP will not hold any protest or demonstration for a month amid coronavirus outbreak, party President JP Nadda said on Wednesday. He further said BJP won't be holding public gatherings, adding that if they have to convey anything, senior party leaders will do so through memorandums. ""All party units have been asked to spread awareness about coronavirus,"" Nadda said.",bjp not hold protest month amid coronavirus scare jp nadda bjp not hold protest demonstration month amid coronavirus outbreak party president jp nadda say wednesday say bjp not hold public gathering add convey anything senior party leader memorandum party unit ask spread awareness coronavirus nadda say
Release Omar Abdullah soon or will have to hear his sister's plea: SC to govt,"The Supreme Court on Wednesday demanded to know from the Centre if it intends to release former J&K CM Omar Abdullah from detention. If not, the court said it will take up the plea by Omar's sister against his detention. Omar's father and National Conference chief Farooq Abdullah was released from detention after seven months on March 13.",politics,"Release Omar Abdullah soon or will have to hear his sister's plea: SC to govt. The Supreme Court on Wednesday demanded to know from the Centre if it intends to release former J&K CM Omar Abdullah from detention. If not, the court said it will take up the plea by Omar's sister against his detention. Omar's father and National Conference chief Farooq Abdullah was released from detention after seven months on March 13.",release omar abdullah soon hear sister plea sc govt supreme court wednesday demand know centre intend release former jk cm omar abdullah detention not court say take plea omar sister detention omars father national conference chief farooq abdullah release detention seven month march
NC chief Farooq Abdullah visits detained Mehbooba Mufti in Srinagar,National Conference (NC) chief Farooq Abdullah on Tuesday met PDP leader Mehbooba Mufti and her family in Srinagar. The meeting comes two days after he had asked all political parties of J&K to jointly appeal to the Centre to bring back all detainees lodged outside the Union Territory. Abdullah was released on March 13 after seven months of detention.,politics,NC chief Farooq Abdullah visits detained Mehbooba Mufti in Srinagar. National Conference (NC) chief Farooq Abdullah on Tuesday met PDP leader Mehbooba Mufti and her family in Srinagar. The meeting comes two days after he had asked all political parties of J&K to jointly appeal to the Centre to bring back all detainees lodged outside the Union Territory. Abdullah was released on March 13 after seven months of detention.,nc chief farooq abdullah visit detain mehbooba mufti srinagar national conference nc chief farooq abdullah tuesday meet pdp leader mehbooba mufti family srinagar meeting come two day ask political party jk jointly appeal centre bring back detainee lodge outside union territory abdullah release march seven month detention
Heavens are not going to fall: Cong as SC hears plea on MP floor test,"Madhya Pradesh Congress on Wednesday sought more time from the Supreme Court in the floor test matter. ""Heavens aren't going to fall that Congress government must go immediately and Shivraj Singh Chouhan's government must be saddled on the people,"" party's lawyer Dushyant Dave said. Congress also demanded a probe in the resignation matter of its lawmakers.",politics,"Heavens are not going to fall: Cong as SC hears plea on MP floor test. Madhya Pradesh Congress on Wednesday sought more time from the Supreme Court in the floor test matter. ""Heavens aren't going to fall that Congress government must go immediately and Shivraj Singh Chouhan's government must be saddled on the people,"" party's lawyer Dushyant Dave said. Congress also demanded a probe in the resignation matter of its lawmakers.",heaven not go fall cong sc hears plea mp floor test madhya pradesh congress wednesday seek time supreme court floor test matter heaven not go fall congress government must go immediately shivraj singh chouhans government must saddle people partys lawyer dushyant dave say congress also demand probe resignation matter lawmaker
"SC refuses to see rebel MP MLAs in judges' chamber, defers hearing",Supreme Court on Wednesday refused the offer of BJP leader Shivraj Singh Chouhan's lawyer to meet Madhya Pradesh's rebel Congress MLAs in the judges' chamber. The bench was hearing petitions filed by Chouhan and Congress on the ongoing political crisis in the state. The court deferred the hearing on Chouhan's plea demanding floor test in the state Assembly till Thursday.,politics,"SC refuses to see rebel MP MLAs in judges' chamber, defers hearing. Supreme Court on Wednesday refused the offer of BJP leader Shivraj Singh Chouhan's lawyer to meet Madhya Pradesh's rebel Congress MLAs in the judges' chamber. The bench was hearing petitions filed by Chouhan and Congress on the ongoing political crisis in the state. The court deferred the hearing on Chouhan's plea demanding floor test in the state Assembly till Thursday.",sc refuse see rebel mp mlas judges chamber defer hear supreme court wednesday refuse offer bjp leader shivraj singh chouhans lawyer meet madhya pradeshs rebel congress mlas judge chamber bench hear petition file chouhan congress ongoing political crisis state court defer hearing chouhans plea demand floor test state assembly till thursday
No adverse impact on economy due to COVID-19: Anurag Thakur,"Minister of State for Finance Anurag Singh Thakur on Tuesday said in the Rajya Sabha that ""the latest available data on trade and indicators of domestic output do not suggest any adverse impact on the economy"". Thakur added, ""Additionally, a positive impact on India's economy may arise from a decline in global oil prices triggered by the outbreak of COVID-19.""",politics,"No adverse impact on economy due to COVID-19: Anurag Thakur. Minister of State for Finance Anurag Singh Thakur on Tuesday said in the Rajya Sabha that ""the latest available data on trade and indicators of domestic output do not suggest any adverse impact on the economy"". Thakur added, ""Additionally, a positive impact on India's economy may arise from a decline in global oil prices triggered by the outbreak of COVID-19.""",no adverse impact economy due covid anurag thakur minister state finance anurag singh thakur tuesday say rajya sabha late available datum trade indicator domestic output not suggest adverse impact economy thakur add additionally positive impact indias economy may arise decline global oil price trigger outbreak covid
"Tsunami is coming: Rahul to Centre over coronavirus, economy","Congress leader Rahul Gandhi on Tuesday warned the Centre over the coronavirus outbreak and the economic slowdown, saying that a tsunami is coming. Gandhi said, ""The Indian economy is going to be devastated. You have no idea what is coming. It is going to be the most painful thing this country has suffered. It is like a tsunami is coming.""",politics,"Tsunami is coming: Rahul to Centre over coronavirus, economy. Congress leader Rahul Gandhi on Tuesday warned the Centre over the coronavirus outbreak and the economic slowdown, saying that a tsunami is coming. Gandhi said, ""The Indian economy is going to be devastated. You have no idea what is coming. It is going to be the most painful thing this country has suffered. It is like a tsunami is coming.""",tsunami come rahul centre coronavirus economy congress leader rahul gandhi tuesday warn centre coronavirus outbreak economic slowdown say tsunami come gandhi say indian economy go devastate no idea come go painful thing country suffer like tsunami come
Rajya Sabha candidates in Bihar and Bengal elected unopposed,"Four TMC candidates Arpita Ghosh, Dinesh Trivedi, Subrata Bakshi and Mausam Noor and CPI(M)'s Bikash Ranjan Bhattacharyya were declared elected unopposed for the five Rajya Sabha seats in West Bengal on Wednesday. JD(U)'s Harivansh and Ram Nath Thakur, RJD's Prem Chand Gupta and Amarendra Dhari Singh and BJP's Vivek Thakur declared elected unopposed for five Rajya Sabha seats in Bihar.",politics,"Rajya Sabha candidates in Bihar and Bengal elected unopposed. Four TMC candidates Arpita Ghosh, Dinesh Trivedi, Subrata Bakshi and Mausam Noor and CPI(M)'s Bikash Ranjan Bhattacharyya were declared elected unopposed for the five Rajya Sabha seats in West Bengal on Wednesday. JD(U)'s Harivansh and Ram Nath Thakur, RJD's Prem Chand Gupta and Amarendra Dhari Singh and BJP's Vivek Thakur declared elected unopposed for five Rajya Sabha seats in Bihar.",rajya sabha candidate bihar bengal elect unoppose four tmc candidate arpita ghosh dinesh trivedi subrata bakshi mausam noor cpi bikash ranjan bhattacharyya declare elect unopposed five rajya sabha seat west bengal wednesday jd u harivansh ram nath thakur rjd prem chand gupta amarendra dhari singh bjps vivek thakur declare elect unopposed five rajya sabha seat bihar
